"Story","Title","Result","Date","Stability","Duration (s)"
"Blaze demo API test","Verify flights search with API","SUCCESS","12:38:12","0.0","10.92"
"Blaze demo smoke API test","Verify flights search with API","SUCCESS","12:38:27","0.0","2.86"
"Find flights UI test","Find flights","SUCCESS","12:38:42","0.0","3.5"
